,Content,Location,Username,Retweet-Count,Favorites,Created at
48,Biden is responsible for what’s going on now! Numbers going up as thousands come across the border coming from places it’s out of control! #BidenBorderCrisis #BidenLied #BidenBurden #BidenLies https://t.co/zrytE9uQ32,maine,dunster14,0,0,2021-03-30 10:08:09
49,Jimmy Dore telling things like they really are under Joe Biden government https://t.co/unKsGsX14J #Pressconference #BidenLied,France,Labsand456,0,0,2021-03-30 09:24:31
50,#JoeBiden is like no one told me it was going to be like this! Please take me home to mummy... 🤣🤣🤣 #DementiaJoe #bidenpressconference #BidenLied #BorderCrisis #Biden #FoxNews #CNN #BidensBorderCrisis,,linxvinx,0,0,2021-03-30 08:24:54
51,"@POTUS While we do those things, how about u do these:
#CancelStudentDebt #M4A #2000StimulusMonthly #EvictionMoratorium 
#PaidShutDown 
BTW, u owe me $600.
#BidenLied",,murphy_jorden,0,0,2021-03-30 08:18:40
52,Check out Wes's video! #TikTok https://t.co/1Wu3KlIGyQ 😂😂 Republicans vs Democrats #GOP #Democrats #Biden #Republicans #BidenBorderCrisis #BidenLied,"Houston, TX",professorXtc,0,0,2021-03-30 07:05:04
53,"♥️🇺🇸 @POTUS45 we miss you. https://t.co/ReYFRTBVLi 

#MELANIATRUMP is already trending. Lmao 

Living in haters head rent free 😅💀 

#MakeAmericaGreatAgain #MrPresident #AmericaFirst #Patriotic #DonaldTrump #Freedom #ThePresident #TrumpIsTrash #BidenLied #BlackLivesMatter #Trump",xtcy,quetevalgah,0,0,2021-03-30 05:54:41
54,"JOE BIDEN poster I made. Old and confused, a true American classic. @JoeBiden #joebiden #joe #biden #BidenLied #bidendown #bidenpressconference  #Democrats https://t.co/MJsvN6C6PO",,PostRadicalism,0,0,2021-03-30 05:35:00
55,#MyanmarMilitaryTerrorists Nothing to see here... I'm sure the #IMF didn't see this outcome. #MyanmarPoliceBrutality Sanctions hurt people not oppressors. Maybe #BidenLied &amp; #TrumpIsTrash don't fund terrorists!!!🧐 #MyanmarProtests #HumanRightsViolations   https://t.co/RpWThL83Wr,"Dallas, TX",WolfClanMedia,0,0,2021-03-30 05:14:14
56,"Is this for real?!

Teachers will be Sent to San Diego Convention Center to Provide In-Person Learning For Migrants While Schools in Same County Remain Closed!
#AmericaLast #AmericansLast #Biden #BidenBorderCrisis #BidenLied #BidensBorderCrisis 
https://t.co/yQxcdBdcs4","Los Angeles, CA",Condor_Law,40,35,2021-03-30 03:54:45
57,I thought @JoeBiden @POTUS believed in #MyBodyMyChoice. Medical information like COVID vaccine status does not belong in a passport. #Whereismy2K #BidenLied,"Orangevale, CA",iRdMoose,0,0,2021-03-30 03:28:50
58,@POTUS @JoeBiden Thank you President Trump for setting the conditions on making this happen! I’m praying for you #POTUS46 #TRUMP2024ToSaveAmerica #Trump2024 #DementiaJoe #MAGA #BidenLied,,joe23757979,1,0,2021-03-30 03:21:06
59,"Never forget that the scamdemic was planned &amp; accomplished by the Democratic Party and China.  
#CCPChina #BidenFalls #BidenLied 
#WuhanLab #BidenBorderCrisis #leftinlockdown #masksdontwork https://t.co/Vp4hu1g4Rl",MAGA USA,nessie1036,0,0,2021-03-30 03:17:59
60,So wait the democrat party mob think some people are too dumb to get an id bit are smart enough to get a China flu vaccine passport.  So logical.  #BoycottGeogia #bidenpressconference #Biden #BidenLied,Washington DC,JosephStanley82,0,0,2021-03-30 02:57:00
61,"Trivia

Planes, Trains and Automobiles is

1. John Candy and Steve Martin movie
2. What staffers call the spoon when they feed Biden his purée 

#America #Biden #BidenLied #BidenBorderCrisis #comedy","Indianapolis, IN",ItsZachree,0,0,2021-03-30 02:29:30
62,You can't make this triangle up as suggested by Twitter....#Huawei #biden #BidenLied #anydoubtsnow #yalljustcrazy https://t.co/NbfvW6SIt6,,BredaThomas4,0,0,2021-03-30 01:43:43
63,"#BidenLied 

Biden CAUGHT CHEATING During Press Conference!! Once Again We Have Proof... https://t.co/7SLqIJqSQ6 via @YouTube",CONNECTICUT,REMBO55,0,0,2021-03-30 01:43:14
64,"@POTUS #BidenLied #TraitorJoe
Have you sniffed AOC's hair yet? It's ok, we already know. https://t.co/uQESaIAtX4","Seattle, Washington",EyeMtheGr8est,0,1,2021-03-30 01:07:22
65,"@Technovore1 @tedcruz @GOP You are so right.. there are so many #BidenLied..$15 an hour, $2000 Covid check,and student loan debt...Just one more to add","Tennessee, USA",LostBrave,0,1,2021-03-30 00:36:44
66,@bblock29 To block out #BidenBorderCrisis #BidenLied #bidendown #Bidenfall #BidenErasedWomen #METOO #NotMyPresident But that's only a working theory.,Denver,MicroPunkMe,1,1,2021-03-30 00:20:32
67,The President making our Military reaffirm their oath is a disgrace wtf! This has never been done in history!!! You are wrong Joey and a disgrace to this country #biden #BidenBorderCrisis #TRUMP #BidenLied #backourmilitary,,JerAnthony4,0,1,2021-03-30 00:15:23
68,"@PtotheQ @DanScavino Nice try!! This ""facilty"" wasn't even in existence then. #BidenLied BECAUSE HE OPENED THE BORDER! HE, BIDEN BUILT IT!!","Texas, USA",ResterLynn,0,0,2021-03-30 00:05:35
69,"'I explained...I think!' Confused Joe Biden walks off after brutal 'impending doom' probe https://t.co/RaPrO6tUpT

God help #America 😂 

#JoeBiden #BorderCrisis #Bidenpressconference #Biden #BidenLied #BidenBorderCrisis #President #USA #US #DementiaJoe",Villain Park 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Villain1982,1,2,2021-03-30 00:03:19
70,Spot on!. They're the lowlife ilk of corrupt lying filth w/ whom imbecile #joebiden comfortably identifies &amp; hangs #tcot #tlot #wakeupamerica #bidenlied #conservatives @tuckercarlson @seanhannity @dbongino https://t.co/kehjvIFnsX,,Bozieg1,0,0,2021-03-30 00:03:09
71,"Imbecile #JoeBiden: States Should Pause Reopening, Reinstate Mask Mandates https://t.co/SNPjP47Gaz The corrupt lying POS should cram his mask, BBQ pit, &amp; lying punk Fauci up his ass &amp; STFU #tcot #tlot #wakepamerica #bidenlied #conservatives @GovRonDeSantis @TuckerCarlson",,Bozieg1,0,0,2021-03-29 23:59:26
72,Patriotic Duty?? Your Patriotic Duty is your resignation; effective immediately. #Patriotic #masksdontwork #BidenLied,"Chicago, Illinois",DallasJReeves,0,0,2021-03-29 23:54:50
73,What more do you need to see to realize the Biden administration is off the rails. #BidenBorderCrisis #BidenLied #BidensAmerica,,Lio_Prime84,0,0,2021-03-29 23:26:33
74,Do the Dems realize they are losing control of the messaging about Covid so they are conspiring to up the fear factor again? #Fauci #bidenlied,"Nashville, TN",TomKendrew,0,0,2021-03-29 23:26:04
75,The Five Most Significant Methods Used to Steal the 2020 Election from Donald Trump https://t.co/7eucfyryne via @gatewaypundit #VoterID #VoterAlert #Election2021 #ElectionCommission #VoterID #BidenLied,🇺🇸 ,FireandRain23,1,1,2021-03-29 23:08:22
76,"@POTUS aka #BidenLied used to mock #LGBT people only 5 years ago. That's right.....
https://t.co/VSHV73IPq4",69 countries and growing!,the1tigirius,0,0,2021-03-29 23:05:02
77,@TuckerCarlson Loved you on the five!!! You need a permanent position just so I can watch your wonderful laugh after every Juan comment 🤣🤣🤣🤣💗#TheFive #JuanWilliams #Tucker #CNN #tuckercarlson #Trump2024 #BidenLied,,dizznmo2,1,3,2021-03-29 22:50:59
78,Wow - Biden is very unpopular 👇#BidenLied https://t.co/piXYrBn8cG,"Anytown, USA",RecallNewsom,0,0,2021-03-29 22:36:12
79,"The corrupt lying imbecile can only undergo a physical exam because he's a rare living anencephalic &amp; ergo, doesn't have a brain... which is abundantly clear #tcot #tlot #wakepamerica #bidenlied #conservatives #lnyhbt @TuckerCarlson @seanhannity @dbongino https://t.co/K4MpNs8bM9",,Bozieg1,0,0,2021-03-29 22:26:21
80,@POTUS Why do you hate the American people? You have lived a great life serving us and now you are throwing us away and risking the lives of thousands of children for future votes! Shame on you and shame on Jill and Obama for using you for this crap!#BidenRegret #BidenLied,,dizznmo2,0,0,2021-03-29 22:26:03
81,"Biden has no clue what he’s doing, the economy is horrible-the children are in danger ⚠️ ⛔️☣️😡🤬#Trump2024 #FoxNews #BidenLied #DementiaJoe",Nor/mal,BigRedBig45,0,0,2021-03-29 22:25:41
82,We need a #RevolutionNow!  Who or What Can You Believe? https://t.co/eSRaxnvlj9 #BidenLied #StimulusCheckDisaster #M4A #StudentDebt,Ohio,cynthianna3,2,1,2021-03-29 22:18:33
83,"@POTUS if you have to say “please,” before a life-saving piece of administration, you’re not the president, you’re a nanny. Get a pair, use your power, and pass an enforceable and fine penalizing national mask policy. Please. Also #wheresmymoney #bidenlied","Boston, MA",reallymorazzini,0,0,2021-03-29 22:17:12
